parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
F_pop,0.704423353342206,,0.0599346917143513,8.50833400539395,0.574699,0.807812
ka_pop,0.561374933046001,,0.0499834668422823,8.90375823713284,0.471963,0.667725
beta_ka_SEX_1,-0.276080424126823,,0.09839830098401,35.6411727833368,-0.468938,-0.0832233
V_pop,70.0721755990115,,2.2938355537585,3.27353265993195,65.7209,74.7115
beta_V_logtWT,1.16194361864085,,0.154173942161168,13.2686250595798,0.859768,1.46412
Cl_pop,2.24191280973995,,0.561690398044766,25.0540697035368,1.40083,3.58801
beta_Cl_WT,0.016144393433234,,0.00361050917396881,22.3638577001995,0.00906793,0.0232209
omega_F,0.595595489685603,17.346552230264,0.405609405827393,68.1014905001215,0.204938,1.73093
omega_ka,0.246238096360978,25.0018228265115,0.0457930354696129,18.5970555110536,0.172552,0.35139
omega_V,0.162046166034982,16.3115799561143,0.0294736795032023,18.1884460610069,0.114404,0.229528
omega_Cl,0.3192998589027,32.7613738132632,0.0512466970205505,16.0497086333405,0.234479,0.434804
corr_F_Cl,0.459677538759628,,0.209834451837477,45.6481846826112,-0.0245454,0.769196
corr_V_Cl,0.704292202608054,,0.114528887834399,16.2615584000914,0.405622,0.867075
corr_ka_Cl,-0.856768734519034,,0.19895525714935,23.2215823399576,-0.991816,0.183095
corr_V_F,0.442468668451794,,0.504953197417722,114.121797411004,-0.638314,0.936144
corr_ka_F,-0.243985917836685,,0.447888872157597,183.571607791478,-0.828213,0.594375
corr_ka_V,-0.763233808921535,,0.252691801373705,33.1080461085396,-0.975272,0.180428
a,2.22044604925031e-16,,nan,nan,nan,nan
b,0.114515356032851,,0.00413672422618234,3.61237511674473,0.106695,0.122909
